# Assembly name:  EquCab2.0
# Organism name:  Equus caballus (horse)
# Infraspecific name:  breed=thoroughbred
# Isolate:  Twilight
# Sex:  female
# Taxid:          9796
# BioSample:      SAMN02953672
# BioProject:     PRJNA18661
# Submitter:      The Genome Assembly Team
# Date:           2007-10-29
# Synonyms:       equCab2	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AAWR02
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000002305.1
# RefSeq assembly accession: GCF_000002305.2
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000165.1	GCF_000000165.1	Primary Assembly
## 	GCF_000215765.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
scaffold_4478	unplaced-scaffold	na	na	AAWR02049773.1	=	NW_001871262.1	Primary Assembly	4133	na
scaffold_4479	unplaced-scaffold	na	na	AAWR02049774.1	=	NW_001871264.1	Primary Assembly	4133	na
scaffold_4480	unplaced-scaffold	na	na	AAWR02049775.1	=	NW_001871265.1	Primary Assembly	4132	na
scaffold_4481	unplaced-scaffold	na	na	AAWR02049776.1	=	NW_001871266.1	Primary Assembly	4131	na
scaffold_4483	unplaced-scaffold	na	na	AAWR02049779.1	=	NW_001871268.1	Primary Assembly	4129	na
scaffold_4484	unplaced-scaffold	na	na	AAWR02049780.1	=	NW_001871269.1	Primary Assembly	4129	na
scaffold_4486	unplaced-scaffold	na	na	AAWR02049783.1	=	NW_001871271.1	Primary Assembly	4127	na
scaffold_4487	unplaced-scaffold	na	na	AAWR02049784.1	=	NW_001871272.1	Primary Assembly	4127	na
scaffold_4488	unplaced-scaffold	na	na	AAWR02049785.1	=	NW_001871273.1	Primary Assembly	4127	na
scaffold_4489	unplaced-scaffold	na	na	AAWR02049786.1	=	NW_001871275.1	Primary Assembly	4127	na
scaffold_4490	unplaced-scaffold	na	na	AAWR02049787.1	=	NW_001871276.1	Primary Assembly	4127	na
scaffold_4491	unplaced-scaffold	na	na	AAWR02049788.1	=	NW_001871277.1	Primary Assembly	4127	na
scaffold_4493	unplaced-scaffold	na	na	AAWR02049791.1	=	NW_001871279.1	Primary Assembly	4126	na
scaffold_4494	unplaced-scaffold	na	na	AAWR02049792.1	=	NW_001871280.1	Primary Assembly	4125	na
scaffold_4495	unplaced-scaffold	na	na	AAWR02049793.1	=	NW_001871281.1	Primary Assembly	4125	na
scaffold_4497	unplaced-scaffold	na	na	AAWR02049796.1	=	NW_001871283.1	Primary Assembly	4124	na
scaffold_4498	unplaced-scaffold	na	na	AAWR02049797.1	=	NW_001871284.1	Primary Assembly	4123	na
scaffold_4499	unplaced-scaffold	na	na	AAWR02049798.1	=	NW_001871286.1	Primary Assembly	4123	na
scaffold_4500	unplaced-scaffold	na	na	AAWR02049799.1	=	NW_001871287.1	Primary Assembly	4123	na
scaffold_4501	unplaced-scaffold	na	na	AAWR02049800.1	=	NW_001871288.1	Primary Assembly	4123	na
scaffold_4502	unplaced-scaffold	na	na	AAWR02049801.1	=	NW_001871289.1	Primary Assembly	4122	na
scaffold_4503	unplaced-scaffold	na	na	AAWR02049802.1	=	NW_001871290.1	Primary Assembly	4121	na
scaffold_4504	unplaced-scaffold	na	na	AAWR02049803.1	=	NW_001871291.1	Primary Assembly	4121	na
scaffold_4505	unplaced-scaffold	na	na	AAWR02049804.1	=	NW_001871292.1	Primary Assembly	4121	na
scaffold_4506	unplaced-scaffold	na	na	AAWR02049805.1	=	NW_001871293.1	Primary Assembly	4121	na
scaffold_4507	unplaced-scaffold	na	na	AAWR02049806.1	=	NW_001871294.1	Primary Assembly	4121	na
scaffold_4508	unplaced-scaffold	na	na	AAWR02049807.1	=	NW_001871295.1	Primary Assembly	4121	na
scaffold_4509	unplaced-scaffold	na	na	AAWR02049808.1	=	NW_001871297.1	Primary Assembly	4120	na
scaffold_4510	unplaced-scaffold	na	na	AAWR02049809.1	=	NW_001871298.1	Primary Assembly	4119	na
scaffold_4511	unplaced-scaffold	na	na	AAWR02049810.1	=	NW_001871299.1	Primary Assembly	4119	na
scaffold_4512	unplaced-scaffold	na	na	AAWR02049811.1	=	NW_001871300.1	Primary Assembly	4118	na
scaffold_4513	unplaced-scaffold	na	na	AAWR02049812.1	=	NW_001871301.1	Primary Assembly	4117	na
scaffold_4514	unplaced-scaffold	na	na	AAWR02049813.1	=	NW_001871302.1	Primary Assembly	4117	na
scaffold_4515	unplaced-scaffold	na	na	AAWR02049814.1	=	NW_001871303.1	Primary Assembly	4116	na
scaffold_4518	unplaced-scaffold	na	na	AAWR02049819.1	=	NW_001871306.1	Primary Assembly	4115	na
scaffold_4519	unplaced-scaffold	na	na	AAWR02049820.1	=	NW_001871308.1	Primary Assembly	4112	na
scaffold_4520	unplaced-scaffold	na	na	AAWR02049821.1	=	NW_001871309.1	Primary Assembly	4112	na
scaffold_4521	unplaced-scaffold	na	na	AAWR02049822.1	=	NW_001871310.1	Primary Assembly	4112	na
scaffold_4522	unplaced-scaffold	na	na	AAWR02049823.1	=	NW_001871311.1	Primary Assembly	4112	na
scaffold_4523	unplaced-scaffold	na	na	AAWR02049824.1	=	NW_001871312.1	Primary Assembly	4111	na
scaffold_4524	unplaced-scaffold	na	na	AAWR02049825.1	=	NW_001871313.1	Primary Assembly	4111	na
scaffold_4525	unplaced-scaffold	na	na	AAWR02049826.1	=	NW_001871314.1	Primary Assembly	4111	na
scaffold_4526	unplaced-scaffold	na	na	AAWR02049827.1	=	NW_001871315.1	Primary Assembly	4110	na
scaffold_4527	unplaced-scaffold	na	na	AAWR02049828.1	=	NW_001871316.1	Primary Assembly	4110	na
scaffold_4528	unplaced-scaffold	na	na	AAWR02049829.1	=	NW_001871317.1	Primary Assembly	4109	na
scaffold_4529	unplaced-scaffold	na	na	AAWR02049830.1	=	NW_001871319.1	Primary Assembly	4109	na
scaffold_4530	unplaced-scaffold	na	na	AAWR02049831.1	=	NW_001871320.1	Primary Assembly	4108	na
scaffold_4531	unplaced-scaffold	na	na	AAWR02049832.1	=	NW_001871321.1	Primary Assembly	4108	na
scaffold_4532	unplaced-scaffold	na	na	AAWR02049833.1	=	NW_001871322.1	Primary Assembly	4108	na
scaffold_4533	unplaced-scaffold	na	na	AAWR02049834.1	=	NW_001871323.1	Primary Assembly	4108	na
scaffold_4534	unplaced-scaffold	na	na	AAWR02049835.1	=	NW_001871324.1	Primary Assembly	4107	na
scaffold_4535	unplaced-scaffold	na	na	AAWR02049836.1	=	NW_001871325.1	Primary Assembly	4106	na
scaffold_4536	unplaced-scaffold	na	na	AAWR02049837.1	=	NW_001871326.1	Primary Assembly	4105	na
scaffold_4537	unplaced-scaffold	na	na	AAWR02049838.1	=	NW_001871327.1	Primary Assembly	4105	na
scaffold_4538	unplaced-scaffold	na	na	AAWR02049839.1	=	NW_001871328.1	Primary Assembly	4105	na
scaffold_4539	unplaced-scaffold	na	na	AAWR02049840.1	=	NW_001871330.1	Primary Assembly	4105	na
scaffold_4540	unplaced-scaffold	na	na	AAWR02049841.1	=	NW_001871331.1	Primary Assembly	4104	na
scaffold_4541	unplaced-scaffold	na	na	AAWR02049842.1	=	NW_001871332.1	Primary Assembly	4104	na
scaffold_4542	unplaced-scaffold	na	na	AAWR02049843.1	=	NW_001871333.1	Primary Assembly	4103	na
scaffold_4543	unplaced-scaffold	na	na	AAWR02049844.1	=	NW_001871334.1	Primary Assembly	4103	na
scaffold_4544	unplaced-scaffold	na	na	AAWR02049845.1	=	NW_001871335.1	Primary Assembly	4103	na
scaffold_4545	unplaced-scaffold	na	na	AAWR02049846.1	=	NW_001871336.1	Primary Assembly	4103	na
scaffold_4547	unplaced-scaffold	na	na	AAWR02049849.1	=	NW_001871338.1	Primary Assembly	4101	na
scaffold_4548	unplaced-scaffold	na	na	AAWR02049850.1	=	NW_001871339.1	Primary Assembly	4101	na
scaffold_4549	unplaced-scaffold	na	na	AAWR02049851.1	=	NW_001871341.1	Primary Assembly	4101	na
scaffold_4550	unplaced-scaffold	na	na	AAWR02049852.1	=	NW_001871342.1	Primary Assembly	4100	na
scaffold_4551	unplaced-scaffold	na	na	AAWR02049853.1	=	NW_001871343.1	Primary Assembly	4100	na
scaffold_4552	unplaced-scaffold	na	na	AAWR02049854.1	=	NW_001871344.1	Primary Assembly	4099	na
scaffold_4553	unplaced-scaffold	na	na	AAWR02049855.1	=	NW_001871345.1	Primary Assembly	4099	na
scaffold_4554	unplaced-scaffold	na	na	AAWR02049856.1	=	NW_001871346.1	Primary Assembly	4099	na
scaffold_4555	unplaced-scaffold	na	na	AAWR02049857.1	=	NW_001871347.1	Primary Assembly	4098	na
scaffold_4556	unplaced-scaffold	na	na	AAWR02049858.1	=	NW_001871348.1	Primary Assembly	4098	na
scaffold_4557	unplaced-scaffold	na	na	AAWR02049859.1	=	NW_001871349.1	Primary Assembly	4097	na
scaffold_4558	unplaced-scaffold	na	na	AAWR02049860.1	=	NW_001871350.1	Primary Assembly	4096	na
scaffold_4559	unplaced-scaffold	na	na	AAWR02049861.1	=	NW_001871352.1	Primary Assembly	4096	na
scaffold_4560	unplaced-scaffold	na	na	AAWR02049862.1	=	NW_001871353.1	Primary Assembly	4095	na
scaffold_4561	unplaced-scaffold	na	na	AAWR02049863.1	=	NW_001871354.1	Primary Assembly	4095	na
scaffold_4562	unplaced-scaffold	na	na	AAWR02049864.1	=	NW_001871355.1	Primary Assembly	4095	na
scaffold_4563	unplaced-scaffold	na	na	AAWR02049865.1	=	NW_001871356.1	Primary Assembly	4094	na
scaffold_4564	unplaced-scaffold	na	na	AAWR02049866.1	=	NW_001871357.1	Primary Assembly	4094	na
scaffold_4566	unplaced-scaffold	na	na	AAWR02049869.1	=	NW_001871359.1	Primary Assembly	4093	na
scaffold_4567	unplaced-scaffold	na	na	AAWR02049870.1	=	NW_001871360.1	Primary Assembly	4093	na
scaffold_4568	unplaced-scaffold	na	na	AAWR02049871.1	=	NW_001871361.1	Primary Assembly	4093	na
scaffold_4569	unplaced-scaffold	na	na	AAWR02049872.1	=	NW_001871363.1	Primary Assembly	4093	na
scaffold_4570	unplaced-scaffold	na	na	AAWR02049873.1	=	NW_001871364.1	Primary Assembly	4092	na
scaffold_4572	unplaced-scaffold	na	na	AAWR02049876.1	=	NW_001871366.1	Primary Assembly	4091	na
scaffold_4573	unplaced-scaffold	na	na	AAWR02049877.1	=	NW_001871367.1	Primary Assembly	4091	na
scaffold_4574	unplaced-scaffold	na	na	AAWR02049878.1	=	NW_001871368.1	Primary Assembly	4091	na
scaffold_4575	unplaced-scaffold	na	na	AAWR02049879.1	=	NW_001871369.1	Primary Assembly	4090	na
scaffold_4577	unplaced-scaffold	na	na	AAWR02049882.1	=	NW_001871371.1	Primary Assembly	4090	na
scaffold_4579	unplaced-scaffold	na	na	AAWR02049885.1	=	NW_001871374.1	Primary Assembly	4090	na
scaffold_4580	unplaced-scaffold	na	na	AAWR02049886.1	=	NW_001871375.1	Primary Assembly	4089	na
scaffold_4582	unplaced-scaffold	na	na	AAWR02049889.1	=	NW_001871377.1	Primary Assembly	4089	na
scaffold_4583	unplaced-scaffold	na	na	AAWR02049890.1	=	NW_001871378.1	Primary Assembly	4089	na
scaffold_4584	unplaced-scaffold	na	na	AAWR02049891.1	=	NW_001871379.1	Primary Assembly	4089	na
scaffold_4585	unplaced-scaffold	na	na	AAWR02049892.1	=	NW_001871380.1	Primary Assembly	4086	na
scaffold_4586	unplaced-scaffold	na	na	AAWR02049893.1	=	NW_001871381.1	Primary Assembly	4086	na
scaffold_4587	unplaced-scaffold	na	na	AAWR02049894.1	=	NW_001871382.1	Primary Assembly	4086	na
scaffold_4589	unplaced-scaffold	na	na	AAWR02049897.1	=	NW_001871385.1	Primary Assembly	4084	na
scaffold_4591	unplaced-scaffold	na	na	AAWR02049900.1	=	NW_001871387.1	Primary Assembly	4084	na
scaffold_4592	unplaced-scaffold	na	na	AAWR02049901.1	=	NW_001871388.1	Primary Assembly	4083	na
scaffold_4593	unplaced-scaffold	na	na	AAWR02049902.1	=	NW_001871389.1	Primary Assembly	4083	na
scaffold_4595	unplaced-scaffold	na	na	AAWR02049905.1	=	NW_001871391.1	Primary Assembly	4082	na
scaffold_4596	unplaced-scaffold	na	na	AAWR02049906.1	=	NW_001871392.1	Primary Assembly	4079	na
scaffold_4597	unplaced-scaffold	na	na	AAWR02049907.1	=	NW_001871393.1	Primary Assembly	4079	na
scaffold_4598	unplaced-scaffold	na	na	AAWR02049908.1	=	NW_001871394.1	Primary Assembly	4079	na
scaffold_4599	unplaced-scaffold	na	na	AAWR02049909.1	=	NW_001871396.1	Primary Assembly	4078	na
scaffold_4600	unplaced-scaffold	na	na	AAWR02049910.1	=	NW_001871397.1	Primary Assembly	4078	na
scaffold_4601	unplaced-scaffold	na	na	AAWR02049911.1	=	NW_001871398.1	Primary Assembly	4078	na
scaffold_4602	unplaced-scaffold	na	na	AAWR02049912.1	=	NW_001871399.1	Primary Assembly	4077	na
scaffold_4603	unplaced-scaffold	na	na	AAWR02049913.1	=	NW_001871400.1	Primary Assembly	4077	na
scaffold_4604	unplaced-scaffold	na	na	AAWR02049914.1	=	NW_001871401.1	Primary Assembly	4077	na
scaffold_4605	unplaced-scaffold	na	na	AAWR02049915.1	=	NW_001871402.1	Primary Assembly	4076	na
scaffold_4606	unplaced-scaffold	na	na	AAWR02049916.1	=	NW_001871403.1	Primary Assembly	4076	na
scaffold_4607	unplaced-scaffold	na	na	AAWR02049917.1	=	NW_001871404.1	Primary Assembly	4075	na
scaffold_4608	unplaced-scaffold	na	na	AAWR02049918.1	=	NW_001871405.1	Primary Assembly	4075	na
scaffold_4609	unplaced-scaffold	na	na	AAWR02049919.1	=	NW_001871407.1	Primary Assembly	4074	na
scaffold_4610	unplaced-scaffold	na	na	AAWR02049920.1	=	NW_001871408.1	Primary Assembly	4074	na
scaffold_4611	unplaced-scaffold	na	na	AAWR02049921.1	=	NW_001871409.1	Primary Assembly	4074	na
scaffold_4612	unplaced-scaffold	na	na	AAWR02049922.1	=	NW_001871410.1	Primary Assembly	4073	na
scaffold_4613	unplaced-scaffold	na	na	AAWR02049923.1	=	NW_001871411.1	Primary Assembly	4072	na
scaffold_4614	unplaced-scaffold	na	na	AAWR02049924.1	=	NW_001871412.1	Primary Assembly	4072	na
scaffold_4615	unplaced-scaffold	na	na	AAWR02049925.1	=	NW_001871413.1	Primary Assembly	4072	na
scaffold_4617	unplaced-scaffold	na	na	AAWR02049928.1	=	NW_001871415.1	Primary Assembly	4070	na
scaffold_4619	unplaced-scaffold	na	na	AAWR02049931.1	=	NW_001871418.1	Primary Assembly	4070	na
scaffold_4620	unplaced-scaffold	na	na	AAWR02049932.1	=	NW_001871419.1	Primary Assembly	4070	na
scaffold_4622	unplaced-scaffold	na	na	AAWR02049935.1	=	NW_001871421.1	Primary Assembly	4069	na
scaffold_4623	unplaced-scaffold	na	na	AAWR02049936.1	=	NW_001871422.1	Primary Assembly	4069	na
scaffold_4624	unplaced-scaffold	na	na	AAWR02049937.1	=	NW_001871423.1	Primary Assembly	4068	na
scaffold_4625	unplaced-scaffold	na	na	AAWR02049938.1	=	NW_001871424.1	Primary Assembly	4068	na
scaffold_4626	unplaced-scaffold	na	na	AAWR02049939.1	=	NW_001871425.1	Primary Assembly	4068	na
scaffold_4627	unplaced-scaffold	na	na	AAWR02049940.1	=	NW_001871426.1	Primary Assembly	4067	na
scaffold_4628	unplaced-scaffold	na	na	AAWR02049941.1	=	NW_001871427.1	Primary Assembly	4067	na
scaffold_4630	unplaced-scaffold	na	na	AAWR02049944.1	=	NW_001871430.1	Primary Assembly	4067	na
scaffold_4631	unplaced-scaffold	na	na	AAWR02049945.1	=	NW_001871431.1	Primary Assembly	4066	na
scaffold_4632	unplaced-scaffold	na	na	AAWR02049946.1	=	NW_001871432.1	Primary Assembly	4066	na
scaffold_4633	unplaced-scaffold	na	na	AAWR02049947.1	=	NW_001871433.1	Primary Assembly	4066	na
scaffold_4634	unplaced-scaffold	na	na	AAWR02049948.1	=	NW_001871434.1	Primary Assembly	4065	na
scaffold_4635	unplaced-scaffold	na	na	AAWR02049949.1	=	NW_001871435.1	Primary Assembly	4065	na
scaffold_4636	unplaced-scaffold	na	na	AAWR02049950.1	=	NW_001871436.1	Primary Assembly	4065	na
scaffold_4637	unplaced-scaffold	na	na	AAWR02049951.1	=	NW_001871437.1	Primary Assembly	4065	na
scaffold_4638	unplaced-scaffold	na	na	AAWR02049952.1	=	NW_001871438.1	Primary Assembly	4064	na
scaffold_4639	unplaced-scaffold	na	na	AAWR02049953.1	=	NW_001871440.1	Primary Assembly	4064	na
scaffold_4640	unplaced-scaffold	na	na	AAWR02049954.1	=	NW_001871441.1	Primary Assembly	4063	na
scaffold_4642	unplaced-scaffold	na	na	AAWR02049957.1	=	NW_001871443.1	Primary Assembly	4062	na
scaffold_4643	unplaced-scaffold	na	na	AAWR02049958.1	=	NW_001871444.1	Primary Assembly	4062	na
scaffold_4644	unplaced-scaffold	na	na	AAWR02049959.1	=	NW_001871445.1	Primary Assembly	4062	na
scaffold_4645	unplaced-scaffold	na	na	AAWR02049960.1	=	NW_001871446.1	Primary Assembly	4061	na
scaffold_4646	unplaced-scaffold	na	na	AAWR02049961.1	=	NW_001871447.1	Primary Assembly	4059	na
scaffold_4647	unplaced-scaffold	na	na	AAWR02049962.1	=	NW_001871448.1	Primary Assembly	4059	na
scaffold_4650	unplaced-scaffold	na	na	AAWR02049967.1	=	NW_001871452.1	Primary Assembly	4057	na
scaffold_4651	unplaced-scaffold	na	na	AAWR02049968.1	=	NW_001871453.1	Primary Assembly	4056	na
scaffold_4652	unplaced-scaffold	na	na	AAWR02049969.1	=	NW_001871454.1	Primary Assembly	4056	na
scaffold_4653	unplaced-scaffold	na	na	AAWR02049970.1	=	NW_001871455.1	Primary Assembly	4056	na
scaffold_4654	unplaced-scaffold	na	na	AAWR02049971.1	=	NW_001871456.1	Primary Assembly	4055	na
scaffold_4655	unplaced-scaffold	na	na	AAWR02049972.1	=	NW_001871457.1	Primary Assembly	4055	na
scaffold_4656	unplaced-scaffold	na	na	AAWR02049973.1	=	NW_001871458.1	Primary Assembly	4054	na
scaffold_4657	unplaced-scaffold	na	na	AAWR02049974.1	=	NW_001871459.1	Primary Assembly	4054	na
scaffold_4658	unplaced-scaffold	na	na	AAWR02049975.1	=	NW_001871460.1	Primary Assembly	4054	na
scaffold_4659	unplaced-scaffold	na	na	AAWR02049976.1	=	NW_001871462.1	Primary Assembly	4053	na
scaffold_4661	unplaced-scaffold	na	na	AAWR02049979.1	=	NW_001871464.1	Primary Assembly	4053	na
scaffold_4662	unplaced-scaffold	na	na	AAWR02049980.1	=	NW_001871465.1	Primary Assembly	4053	na
scaffold_4663	unplaced-scaffold	na	na	AAWR02049981.1	=	NW_001871466.1	Primary Assembly	4053	na
scaffold_4664	unplaced-scaffold	na	na	AAWR02049982.1	=	NW_001871467.1	Primary Assembly	4052	na
scaffold_4665	unplaced-scaffold	na	na	AAWR02049983.1	=	NW_001871468.1	Primary Assembly	4052	na
scaffold_4666	unplaced-scaffold	na	na	AAWR02049984.1	=	NW_001871469.1	Primary Assembly	4051	na
scaffold_4667	unplaced-scaffold	na	na	AAWR02049985.1	=	NW_001871470.1	Primary Assembly	4051	na
scaffold_4669	unplaced-scaffold	na	na	AAWR02049988.1	=	NW_001871473.1	Primary Assembly	4049	na
scaffold_4672	unplaced-scaffold	na	na	AAWR02049993.1	=	NW_001871476.1	Primary Assembly	4049	na
scaffold_4673	unplaced-scaffold	na	na	AAWR02049994.1	=	NW_001871477.1	Primary Assembly	4048	na
scaffold_4674	unplaced-scaffold	na	na	AAWR02049995.1	=	NW_001871478.1	Primary Assembly	4048	na
scaffold_4675	unplaced-scaffold	na	na	AAWR02049996.1	=	NW_001871479.1	Primary Assembly	4048	na
scaffold_4676	unplaced-scaffold	na	na	AAWR02049997.1	=	NW_001871480.1	Primary Assembly	4048	na
scaffold_4677	unplaced-scaffold	na	na	AAWR02049998.1	=	NW_001871481.1	Primary Assembly	4047	na
scaffold_4678	unplaced-scaffold	na	na	AAWR02049999.1	=	NW_001871482.1	Primary Assembly	4047	na
scaffold_4679	unplaced-scaffold	na	na	AAWR02050000.1	=	NW_001871484.1	Primary Assembly	4047	na
scaffold_4680	unplaced-scaffold	na	na	AAWR02050001.1	=	NW_001871485.1	Primary Assembly	4047	na
scaffold_4681	unplaced-scaffold	na	na	AAWR02050002.1	=	NW_001871486.1	Primary Assembly	4046	na
scaffold_4682	unplaced-scaffold	na	na	AAWR02050003.1	=	NW_001871487.1	Primary Assembly	4046	na
scaffold_4683	unplaced-scaffold	na	na	AAWR02050004.1	=	NW_001871488.1	Primary Assembly	4046	na
scaffold_4684	unplaced-scaffold	na	na	AAWR02050005.1	=	NW_001871489.1	Primary Assembly	4045	na
scaffold_4685	unplaced-scaffold	na	na	AAWR02050006.1	=	NW_001871490.1	Primary Assembly	4044	na
scaffold_4686	unplaced-scaffold	na	na	AAWR02050007.1	=	NW_001871491.1	Primary Assembly	4044	na
scaffold_4688	unplaced-scaffold	na	na	AAWR02050011.1	=	NW_001871493.1	Primary Assembly	4043	na
scaffold_4689	unplaced-scaffold	na	na	AAWR02050012.1	=	NW_001871495.1	Primary Assembly	4043	na
scaffold_4690	unplaced-scaffold	na	na	AAWR02050013.1	=	NW_001871496.1	Primary Assembly	4043	na
scaffold_4691	unplaced-scaffold	na	na	AAWR02050014.1	=	NW_001871497.1	Primary Assembly	4043	na
scaffold_4692	unplaced-scaffold	na	na	AAWR02050015.1	=	NW_001871498.1	Primary Assembly	4042	na
scaffold_4693	unplaced-scaffold	na	na	AAWR02050016.1	=	NW_001871499.1	Primary Assembly	4042	na
scaffold_4694	unplaced-scaffold	na	na	AAWR02050017.1	=	NW_001871500.1	Primary Assembly	4041	na
scaffold_4695	unplaced-scaffold	na	na	AAWR02050018.1	=	NW_001871501.1	Primary Assembly	4041	na
scaffold_4697	unplaced-scaffold	na	na	AAWR02050021.1	=	NW_001871503.1	Primary Assembly	4041	na
scaffold_4698	unplaced-scaffold	na	na	AAWR02050022.1	=	NW_001871504.1	Primary Assembly	4041	na
scaffold_4699	unplaced-scaffold	na	na	AAWR02050023.1	=	NW_001871506.1	Primary Assembly	4039	na
scaffold_4700	unplaced-scaffold	na	na	AAWR02050024.1	=	NW_001871507.1	Primary Assembly	4037	na
scaffold_4701	unplaced-scaffold	na	na	AAWR02050025.1	=	NW_001871508.1	Primary Assembly	4036	na
scaffold_4702	unplaced-scaffold	na	na	AAWR02050026.1	=	NW_001871509.1	Primary Assembly	4035	na
scaffold_4704	unplaced-scaffold	na	na	AAWR02050029.1	=	NW_001871511.1	Primary Assembly	4034	na
scaffold_4705	unplaced-scaffold	na	na	AAWR02050030.1	=	NW_001871512.1	Primary Assembly	4033	na
scaffold_4706	unplaced-scaffold	na	na	AAWR02050031.1	=	NW_001871513.1	Primary Assembly	4033	na
scaffold_4707	unplaced-scaffold	na	na	AAWR02050032.1	=	NW_001871514.1	Primary Assembly	4032	na
scaffold_4708	unplaced-scaffold	na	na	AAWR02050033.1	=	NW_001871515.1	Primary Assembly	4032	na
scaffold_4709	unplaced-scaffold	na	na	AAWR02050034.1	=	NW_001871517.1	Primary Assembly	4032	na
scaffold_4710	unplaced-scaffold	na	na	AAWR02050035.1	=	NW_001871518.1	Primary Assembly	4031	na
scaffold_4711	unplaced-scaffold	na	na	AAWR02050036.1	=	NW_001871519.1	Primary Assembly	4031	na
scaffold_4712	unplaced-scaffold	na	na	AAWR02050037.1	=	NW_001871520.1	Primary Assembly	4031	na
scaffold_4715	unplaced-scaffold	na	na	AAWR02050042.1	=	NW_001871523.1	Primary Assembly	4031	na
scaffold_4716	unplaced-scaffold	na	na	AAWR02050043.1	=	NW_001871524.1	Primary Assembly	4030	na
scaffold_4717	unplaced-scaffold	na	na	AAWR02050044.1	=	NW_001871525.1	Primary Assembly	4030	na
scaffold_4718	unplaced-scaffold	na	na	AAWR02050045.1	=	NW_001871526.1	Primary Assembly	4030	na
scaffold_4719	unplaced-scaffold	na	na	AAWR02050046.1	=	NW_001871528.1	Primary Assembly	4029	na
scaffold_4720	unplaced-scaffold	na	na	AAWR02050047.1	=	NW_001871529.1	Primary Assembly	4029	na
scaffold_4721	unplaced-scaffold	na	na	AAWR02050048.1	=	NW_001871530.1	Primary Assembly	4029	na
scaffold_4722	unplaced-scaffold	na	na	AAWR02050049.1	=	NW_001871531.1	Primary Assembly	4029	na
scaffold_4723	unplaced-scaffold	na	na	AAWR02050050.1	=	NW_001871532.1	Primary Assembly	4029	na
scaffold_4724	unplaced-scaffold	na	na	AAWR02050051.1	=	NW_001871533.1	Primary Assembly	4028	na
scaffold_4725	unplaced-scaffold	na	na	AAWR02050052.1	=	NW_001871534.1	Primary Assembly	4028	na
scaffold_4726	unplaced-scaffold	na	na	AAWR02050053.1	=	NW_001871535.1	Primary Assembly	4027	na
scaffold_4728	unplaced-scaffold	na	na	AAWR02050056.1	=	NW_001871537.1	Primary Assembly	4026	na
scaffold_4729	unplaced-scaffold	na	na	AAWR02050057.1	=	NW_001871539.1	Primary Assembly	4025	na
scaffold_4730	unplaced-scaffold	na	na	AAWR02050058.1	=	NW_001871540.1	Primary Assembly	4024	na
scaffold_4731	unplaced-scaffold	na	na	AAWR02050059.1	=	NW_001871541.1	Primary Assembly	4023	na
scaffold_4732	unplaced-scaffold	na	na	AAWR02050060.1	=	NW_001871542.1	Primary Assembly	4021	na
scaffold_4733	unplaced-scaffold	na	na	AAWR02050061.1	=	NW_001871543.1	Primary Assembly	4020	na
scaffold_4734	unplaced-scaffold	na	na	AAWR02050062.1	=	NW_001871544.1	Primary Assembly	4020	na
scaffold_4735	unplaced-scaffold	na	na	AAWR02050063.1	=	NW_001871545.1	Primary Assembly	4020	na
scaffold_4737	unplaced-scaffold	na	na	AAWR02050066.1	=	NW_001871547.1	Primary Assembly	4018	na
scaffold_4738	unplaced-scaffold	na	na	AAWR02050067.1	=	NW_001871548.1	Primary Assembly	4018	na
scaffold_4739	unplaced-scaffold	na	na	AAWR02050068.1	=	NW_001871550.1	Primary Assembly	4018	na
scaffold_4740	unplaced-scaffold	na	na	AAWR02050069.1	=	NW_001871551.1	Primary Assembly	4018	na
